1,banned1@wavesound.unipd,14,reason for ban1,2018-01-13
2,banned2@wavesound.unipd,14,reason for ban2,2018-01-14
3,banned3@wavesound.unipd,17,reason for ban3,2018-01-15
4,banned4@wavesound.unipd,13,reason for ban4,2018-01-16
5,banned5@wavesound.unipd,16,reason for ban5,2018-01-17
6,banned6@wavesound.unipd,17,reason for ban6,2018-01-18
7,banned7@wavesound.unipd,13,reason for ban7,2018-01-19
8,banned8@wavesound.unipd,13,reason for ban8,2018-01-20
9,banned9@wavesound.unipd,14,reason for ban9,2018-01-21
10,banned10@wavesound.unipd,13,reason for ban10,2018-01-22
11,banned11@wavesound.unipd,14,reason for ban11,2018-01-23
